행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제186회 정기연주회,성남아트센터 콘서트홀,공연,2022-05-26,2022-05-26,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
클래식은 내친구 1회차,야탑청소년수련관 공연장,공연,2022-05-28,2022-05-28,16:30,19:00,무료,성남시립교향악단,성남시립교향악단,031-729-4809,,300,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
5월 기획연주회 우리동네 콘서트,분당 율동공원,공연,2022-05-28,2022-05-28,15:30,18:00,무료,성남시립합창단,성남시립합창단,031-729-4807,,500,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
9월 기획연주회 샐러리맨 칸타타,성남아트센터 콘서트홀,공연,2021-09-07,2021-09-08,19:30,23:59,유료,성남시립합창단,성남시립합창단,031-729-4807,,984,전석 5000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제179회 정기연주회,성남아트센터 콘서트홀,공연,2021-09-30,2021-09-30,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제62회 정기연주회,"성남아트센터 콘서트홀, 국악TV",공연,2021-10-06,2021-10-06,19:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4810,,984,전석 5000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제180회 정기연주회,성남아트센터 콘서트홀,공연,2021-10-29,2021-10-29,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제63회 정기연주회,성남시청 온누리홀,공연,2021-11-02,2021-11-03,09:00,23:00,무료,성남시립국악단,성남시립국악단,031-729-4810,,0,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제145회 정기연주회,성남아트센터 콘서트홀,공연,2021-11-04,2021-11-04,19:30,23:59,유료,성남시립합창단,성남시립합창단,031-729-4807,,984,전석 5000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
금난새의 오페라이야기,성남아트센터 콘서트홀,공연,2021-11-11,2021-11-11,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제181회 정기연주회,성남아트센터 콘서트홀,공연,2021-11-25,2021-11-25,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제56회 정기연주회,성남아트센터 콘서트홀,공연,2021-11-27,2021-11-27,15:00,23:59,유료,성남시립소년소녀합창단,성남시립소년소녀합창단,031-729-4808,,984,전석 3000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제64회 정기연주회,성남아트센터 콘서트홀,공연,2021-12-02,2021-12-02,19:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4810,,984,전석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
금난새의 오페라이야기,성남아트센터 콘서트홀,공연,2021-12-08,2021-12-08,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
천원의 행복릴레이,성남시청 온누리홀,공연,2021-12-09,2021-12-09,19:30,22:00,무료,성남시립국악단,성남시립국악단,031-729-4810,,0,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
국악창작 가족뮤지컬 신나고싱싱고,성남아트센터 앙상블시어터,공연,2021-12-16,2021-12-19,11:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4810,,378,전석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
거리로 나온 예술,가평군 자라섬(자전거 대여소 앞),"라일라, 아이랑, ㈜음악문화발전협의회",2019-09-28,2019-09-28,2,,무료,가평군,가평군,031-580-2061,해당없음,,무료,전연령,해당없음,해당없음,해당없음,해당없음,Y,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 달전리 산8,37.8209476,127.5208644,2019-09-17,4160000,경기도 가평군
군민의날 공연,가평군 문화예술회관,군민의날 공연,2019-10-08,2019-10-08,2,,무료,가평군,가평문화원,031-580-2061,해당없음,641,무료,전연령,해당없음,해당없음,해당없음,해당없음,Y,경기도 가평군 가평읍 문화로 153,경기도 가평군 가평읍 대곡리 318,37.8263961715,127.5078635197,2019-09-17,4160000,경기도 가평군
2019 광산구립합창단 재능나눔 공연 ③,효정요양병원,"합창 공연 8곡, 색소폰 공연 3곡",2019-09-05,2019-09-05,13:30,14:00,무료,광산구립합창단,광주광역시 광산구청,,,,,,,,,, ,광주광역시 광산구 노안삼도로 1263,,35.15017852,126.6732454,2022-08-25,3630000,광주광역시 광산구
얼음골사과축제,밀양얼음골공영주차장,사과축제,2021-11-05,2021-11-21,09:00,18:00,무료,밀양얼음골사과발전협의회,밀양얼음골사과발전협의회,,,,,,,,,, ,,경상남도 밀양시 산내면 삼양리 187,,,2021-11-02,5360000,경상남도 밀양시
제159회 정기연주회,성남아트센터 콘서트홀,공연,2019-02-28,2019-02-28,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
천원의 행복릴레이,성남아트센터 앙상블시어터,공연,2019-03-07,2019-03-07,19:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4809,,378,전석 1000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
기획연주회(오페라 이야기),성남아트센터 콘서트홀,공연,2019-03-13,2019-03-13,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제160회 정기연주회,성남아트센터 콘서트홀,공연,2019-03-22,2019-03-22,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
기획연주회(우리 동네 콘서트),복정초등학교 체육관,공연,2019-03-29,2019-03-29,19:30,23:59,무료,성남시립합창단,성남시립합창단,031-729-4807,,500,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제53회 정기연주회,성남아트센터 콘서트홀,공연,2019-04-05,2019-04-05,19:30,23:59,유료,성남시립소년소녀합창단,성남시립소년소녀합창단,031-729-4808,,984,전석 3000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,관람수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
"트럼펫니스트 성제창, 첼리스트송영훈 웨스턴심포니오케스트라",대공연장,클래식,2022-06-30,2022-06-30,19:30,21:30,유료,충청남도 서산시청,충청남도 서산시청,041-661-8029,충청남도 서산시청,601,S석10000원+A석5000원,8세이상,,,https://www.seosan.go.kr/culture/index.do,https://www.seosan.go.kr/culture/selectBbsNttList.do?bbsNo=36&key=827,Y,충청남도 서산시 문화로 52,,36.78619098,126.448616,2022-07-27,4530000,충청남도 서산시
육중완밴드와 함께하는 한 여름밤의 파워콘서트,대공연장,콘서트,2022-07-22,2022-07-22,19:30,21:30,유료,충청남도 서산시청,충청남도 서산시청,041-661-8029,충청남도 서산시청,601,S석20000원+A석10000원,8세이상,장애인+만65세이상+학생(초중고)+자원봉사자+국가유공자,,https://www.seosan.go.kr/culture/index.do,https://www.seosan.go.kr/culture/selectBbsNttList.do?bbsNo=36&key=827,Y,충청남도 서산시 문화로 52,,36.78619098,126.448616,2022-07-27,4530000,충청남도 서산시
